ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant	VF
MHP168L_RS00285	764.0967127	0.031992318	0.085517749	0.374101496	0.708328806	0.741578949	normal	-
MHP168L_RS00290	2002.772095	0.31678638	0.0742787	4.264834731	2.00E-05	3.35E-05	normal	-
MHP168L_RS00295	157.139169	0.23601306	0.157213519	1.501226238	0.133297056	0.161094636	normal	-
MHP168L_RS00300	256.9283168	0.276437442	0.128439801	2.152272435	0.031375904	0.040727804	normal	-
MHP168L_RS00305	307.7370021	-0.022063662	0.129314771	-0.17061981	0.86452272	0.881286319	normal	-
MHP168L_RS00310	1289.245654	-0.540562011	0.076680431	-7.049543181	1.80E-12	4.05E-12	normal	-
MHP168L_RS00315	1703.710017	0.855873679	0.073860932	11.58763718	4.76E-31	1.83E-30	normal	P65
MHP168L_RS00320	15.00379468	-1.014359825	0.51564893	-1.967152003	0.04916569	0.062713947	normal	-
MHP168L_RS00325	22.02135832	0.637972966	0.414802935	1.53801459	0.124045048	0.15115423	normal	-
MHP168L_RS00330	9708.906839	-0.593812316	0.057428959	-10.33994564	4.65E-25	1.53E-24	normal	-
MHP168L_RS00335	827.8919238	-2.013649245	0.091535681	-21.99851721	2.98E-107	3.08E-106	down	-
MHP168L_RS00340	375.1232032	0.261351404	0.109689265	2.382652517	0.01718841	0.022753003	normal	-
MHP168L_RS00345	585.3882539	-0.412084917	0.093462015	-4.409116538	1.04E-05	1.78E-05	normal	-
MHP168L_RS00350	5513.875855	-0.045525927	0.055984802	-0.81318367	0.416112761	0.457102973	normal	-
MHP168L_RS00355	681.8416136	0.480328022	0.098295237	4.886584902	1.03E-06	1.85E-06	normal	-
MHP168L_RS00360	7514.568061	0.128538104	0.065466998	1.963403053	0.049599359	0.063157662	normal	EF-Tu
MHP168L_RS00365	2955.242169	-0.756191926	0.061606869	-12.27447426	1.24E-34	5.47E-34	normal	-
MHP168L_RS00370	28198.84679	-0.265679663	0.065335711	-4.06637743	4.77E-05	7.84E-05	normal	-
MHP168L_RS00375	4405.045709	0.170839036	0.062709452	2.724294824	0.006443895	0.008864873	normal	-
MHP168L_RS00380	2474.93252	0.329046662	0.06633937	4.960051086	7.05E-07	1.27E-06	normal	-
MHP168L_RS00385	62.10472108	-0.600709671	0.272632408	-2.203368538	0.027568784	0.03591261	normal	-
MHP168L_RS00390	91.23591805	-0.264991495	0.202061992	-1.311436615	0.189710295	0.224480349	normal	-
MHP168L_RS00395	101.7892921	-1.178742409	0.208559684	-5.651822965	1.59E-08	3.12E-08	down	-
MHP168L_RS00400	1201.839922	1.817076699	0.078985622	23.00515776	4.14E-117	4.84E-116	up	-
MHP168L_RS00405	16795.2928	0.584148424	0.069960752	8.349659045	6.85E-17	1.80E-16	normal	-
MHP168L_RS00410	14413.55119	0.786726818	0.066975472	11.74649158	7.36E-32	2.94E-31	normal	-
MHP168L_RS00415	7753.170595	0.341994352	0.061895813	5.525322919	3.29E-08	6.37E-08	normal	-
MHP168L_RS00425	8057.637708	0.201535517	0.062749392	3.211752505	0.00131928	0.001961596	normal	-
MHP168L_RS00430	38.12798077	-0.943371725	0.327075205	-2.884265488	0.003923278	0.005521096	normal	-
MHP168L_RS00440	4.340031509	0.214777855	0.960480056	0.223615112	0.823056804	0.8472305	normal	-
MHP168L_RS00445	8.652097515	-1.313104312	0.689459693	-1.904541087	0.056839751	0.071879822	normal	-
MHP168L_RS00450	66.3189366	-0.694692334	0.541702328	-1.282424494	0.199693776	0.234783737	normal	-
MHP168L_RS00455	0.599856463	-2.988401025	2.608714682	-1.14554537	0.251983313	0.291145554	normal	-
MHP168L_RS00470	83.33671016	-1.910068786	0.225194016	-8.48188073	2.22E-17	5.97E-17	down	-
MHP168L_RS00475	65.03047412	0.380082445	0.243713825	1.559544048	0.118867668	0.145085578	normal	-
MHP168L_RS00480	293.6739784	2.221822822	0.144362067	15.39062768	1.89E-53	1.25E-52	up	-
MHP168L_RS00485	2461.696028	0.542908022	0.063966841	8.487335163	2.11E-17	5.72E-17	normal	-
MHP168L_RS00495	224.5562376	10.99072635	1.184016896	9.282575599	1.65E-20	4.87E-20	up	-
MHP168L_RS00500	1599.871022	0.657337786	0.069571791	9.448337791	3.44E-21	1.03E-20	normal	-
MHP168L_RS00505	3336.8883	-0.581617236	0.067195973	-8.655537129	4.91E-18	1.37E-17	normal	-
MHP168L_RS00510	1672.669087	-0.135189524	0.073263986	-1.845238442	0.065002861	0.081921414	normal	-
MHP168L_RS00515	18.45163588	-1.092400851	0.452344907	-2.414973254	0.015736365	0.020906074	down	-
MHP168L_RS00520	884.7251001	-0.083169185	0.086003094	-0.967048755	0.333519661	0.375337111	normal	-
MHP168L_RS00525	305.3682733	-0.570550894	0.329523555	-1.731441909	0.083372977	0.103303891	normal	-
MHP168L_RS00530	307.7282231	0.516401112	0.143477561	3.599176812	0.000319226	0.00050527	normal	-
MHP168L_RS00535	6359.233505	-0.705342884	0.063904535	-11.0374464	2.52E-28	9.28E-28	normal	-
MHP168L_RS00540	1433.903844	0.909166752	0.082482355	11.02256055	2.97E-28	1.09E-27	normal	-
MHP168L_RS00545	3549.258173	0.391599851	0.059476453	6.584115703	4.58E-11	9.88E-11	normal	-
MHP168L_RS00550	5578.717078	0.70786884	0.058159398	12.1711859	4.43E-34	1.91E-33	normal	P97/P102 paralog family
MHP168L_RS00555	1930.268813	-1.251849027	0.068390049	-18.30454948	7.61E-75	6.29E-74	down	LppT
MHP168L_RS00560	307.8071218	1.192804704	0.126067168	9.461660219	3.03E-21	9.14E-21	up	-
MHP168L_RS00565	1454.284453	0.957913558	0.071327366	13.42981828	4.04E-41	2.16E-40	normal	-
MHP168L_RS00570	396.5238542	-1.137595807	0.279961008	-4.063408033	4.84E-05	7.93E-05	down	-
MHP168L_RS00575	18134.89954	0.127013388	0.055481645	2.289286627	0.022062704	0.029048569	normal	-
MHP168L_RS00580	55688.40244	-1.450521004	0.051711749	-28.05012477	3.98E-173	7.92E-172	down	P97
MHP168L_RS00585	1270.935253	-1.472337988	0.108788818	-13.53390918	9.86E-42	5.30E-41	down	-
MHP168L_RS00590	14247.71488	-0.291059516	0.05369141	-5.420969829	5.93E-08	1.13E-07	normal	-
MHP168L_RS00595	12367.25655	-0.263257061	0.078178039	-3.367404237	0.000758794	0.001151489	normal	-
MHP168L_RS00600	5867.563363	-0.40869471	0.062158427	-6.575049075	4.86E-11	1.04E-10	normal	-
MHP168L_RS00605	5810.643562	-0.381361064	0.062489539	-6.102798511	1.04E-09	2.17E-09	normal	-
MHP168L_RS00610	14134.65275	-0.22481998	0.064496952	-3.485745809	0.000490767	0.000758833	normal	-
MHP168L_RS00615	5030.594237	-0.09393534	0.067419005	-1.393306541	0.163527113	0.196019472	normal	-
MHP168L_RS00625	8959.30643	-0.394678218	0.070886049	-5.567784126	2.58E-08	5.02E-08	normal	-
MHP168L_RS00630	6325.844922	-0.552255043	0.075035152	-7.359950996	1.84E-13	4.34E-13	normal	-
MHP168L_RS00635	3910.645829	-0.487937246	0.066990686	-7.283658055	3.25E-13	7.62E-13	normal	-
MHP168L_RS00640	1702.876193	-0.351916155	0.072849565	-4.830724172	1.36E-06	2.44E-06	normal	-
MHP168L_RS00645	2691.935949	-0.814212589	0.085214553	-9.554853772	1.24E-21	3.78E-21	normal	-
MHP168L_RS00650	3518.100668	-0.798212663	0.078327143	-10.19075426	2.18E-24	7.07E-24	normal	-
MHP168L_RS00655	4435.528313	-0.684455787	0.063395401	-10.79661571	3.57E-27	1.26E-26	normal	-
MHP168L_RS00660	1261.335536	-1.058272095	0.101688133	-10.40703635	2.30E-25	7.63E-25	down	-
MHP168L_RS00665	1585.671874	-0.615483486	0.081544126	-7.547858025	4.42E-14	1.06E-13	normal	-
MHP168L_RS00670	5414.588023	-0.718451582	0.058329201	-12.31718533	7.32E-35	3.25E-34	normal	-
