ID	X168L.3D.1_host_sorted	X168L.3D.2_host_sorted	X168L.3D.3_host_sorted	X168L.3D.4_host_sorted	X168L.3D.5_host_sorted	LH.1A_host_sorted	LH.2A_host_sorted	LH.3A_host_sorted	LH.3D.1_host_sorted	LH.3D.2_host_sorted	LH.3D.3_host_sorted	LH.3D.4_host_sorted	LH.4A_host_sorted	NC.1A_host_sorted	NC.2A_host_sorted	NC.3A_host_sorted	NC.4A_host_sorted
FGFR1	32.4852152731976	39.5165058062218	31.4061872394753	22.8405430491438	22.8638735554219	10.054589162009	9.59645985540416	13.0494846386887	57.6417486287503	61.9695032991815	74.0472688305326	67.0060231024741	8.32786402999971	8.11314008192084	8.471112259787	7.50241175874586	10.0124541389189
FLNC	11.1935660161715	10.0062519435385	9.56419608217613	4.30633248845878	8.63483449551419	0.0790930076261892	0.036842101138826	0.372080886232904	22.8849603762942	48.5492264151786	115.301230265411	33.1651148444993	0.133640719922131	0.121370035644045	0.135385803173746	0.051380041426062	0.028110790892544
GADD45A	58.2067281330175	88.4236199618042	58.132216061136	73.9408960169524	71.1898595883215	8.17106903678579	8.1222608800317	7.45740580543408	118.56766162147	143.554003440961	155.574329431449	144.166718946218	10.1125625282314	7.52708576069999	6.69114749110849	5.85570911121327	7.7443074495187
GADD45B	164.152766838236	151.865690461872	134.306256559136	102.650687999045	130.587150677969	8.8805395909378	9.77155704464691	6.239166560999	115.429312308871	159.700500277372	222.107330286736	234.402692473857	9.11812019833476	6.65121813782123	6.32896230639875	7.22810414391282	5.47243160659541
GPX7	8.0045668669162	8.18042041673452	8.00051024699257	6.20688068416697	9.91594448614545	0.100891141839444	0.152736452064017	0.146908312287579	5.69916142588791	7.56551213882834	8.43434809852104	12.9071762045856	0.102059058486055	0.0559071402255639	0.0311816382125145	0.228221198179188	0.0874042671208274
HNRNPM	54.9286842345056	61.0802297723164	55.3900687164669	50.0420128117871	40.7409758659614	10.9198154740725	6.56823477209935	12.409310843459	69.8173896674282	75.1882417865364	77.5021154398644	83.3760018416926	7.98465245948736	7.55473314242649	6.79022236859248	6.85323016675433	6.08013250297959
IL6	23.4791515567673	10.3828618260912	12.0459403140581	16.3399427960081	19.8184245037798	0.579674804767083	0.103241702966786	0.0937854026421696	11.6853993061777	17.8088735128981	13.996343876107	9.83983924724858	0.0837693035483504	0.240912829445273	0.238874093583911	0.116556056655608	0.185994567108499
IRF1	106.184259966264	86.7884104749119	65.4722283993157	83.0126459220997	135.572785447141	20.4277038255051	21.1489197180059	17.2090341774871	128.195048788172	183.689924090423	195.241549927418	204.016395084584	22.3499948546751	21.8771690603143	18.074361285391	19.7125821771581	18.7806683228561
JAK2	15.5207194043375	20.2303429442243	15.6866488792953	16.9400261077951	12.9363873648773	4.42182061866195	4.46961913697189	4.2286564833377	22.134076666421	23.3703477324612	22.8858621379956	26.1915749495062	4.63586164147065	5.25899667031653	5.05726606817949	6.11194054010444	4.67567071760489
KLF2	216.048735871971	117.994535656534	163.60187430123	71.0688103064793	131.320636392875	7.01815061170467	1.55569595368104	4.36214365454144	32.7936374087298	31.4610467600875	31.3875583766008	40.8128013292842	3.57523377311743	2.01444131855303	2.29388219089696	1.12688937488643	2.00236012818748
MAP3K14	7.58364479420086	9.50418796037383	6.05070325356992	8.19872699091626	5.83591346819377	3.66847340214917	2.75346833067733	2.13667612976073	20.2117466775817	21.0847604003039	29.0038391444377	20.9466391627108	1.90090991716585	1.52461742305946	1.79786138447394	1.80191319885595	1.86649206371614
MAP3K8	37.2754974709215	26.7305886943342	30.6701258864285	24.3122811734334	30.3158541106534	3.16117927540521	2.65816854153611	1.13468390011975	23.255668839538	26.6607166967122	23.4997945500832	26.7707655596519	2.07692992091488	1.7229980340672	1.78316033166579	2.44871124031589	1.90222177924123
MMP2	105.05343216807	93.1620487178384	80.9229544566621	52.6929470534297	87.3696428211447	0	0.0229946099551981	0.156663346153468	104.348786611751	123.401077542917	216.954712224634	314.001090645649	0.05597280186087	0.0983721698018246	0.119707802352833	0	0.0621387346616379
NFKB1	35.8417213166453	35.659497735584	32.0063524153933	27.6553639520451	33.6039608069646	11.8470751672662	13.54249153986	13.4827333886744	36.2292642262168	49.8346546697652	41.3005600617634	44.282180862562	11.6565659487255	11.1577636861272	11.3789056837345	10.5156963429523	11.3835294966673
NFKBIA	1001.85846865295	801.746910772827	681.317619774848	614.044797307044	802.455738596017	75.5394272178723	99.2051278624331	73.3603234880471	411.072362040856	467.72449911942	387.199600830738	446.925213062287	90.2212485305976	89.3145072993583	88.8977552115451	82.2960382279822	73.2656626334032
NR4A1	92.1087296735635	54.5064470788591	52.8477229791722	49.3112605892349	54.3023954417453	4.41694045869505	0.43871949616423	1.27806214808675	66.7604957681209	87.8711188690777	101.6047450164	100.35315248402	0.846969501983825	0.77663397590747	0.656302564167205	0.525186728437307	0.62957288537699
PDGFRA	22.2041357541202	37.7760529565207	16.7828111706031	27.8805655449253	27.6286508365942	0	0.039935028805066	0.0502300074417556	23.0701683605053	23.5931226605845	13.7858653906399	28.561183307133	0.0348954200577698	0.0525674420397697	0.0426457535335298	0.0312128083275958	0.026564214975278
PDGFRB	44.1148041253859	54.0467186997409	29.9470543002594	17.1952122059756	22.0591108996569	0	0.0453702755370015	0.132475626655493	29.3280425018759	36.9457844235015	50.6447096710514	56.9436396838742	0.0525899940806737	0.0403317324694324	0.0337419196887497	0.0603680311009017	0.0665569376644966
PMAIP1	85.7501434900459	79.4301405764925	62.1603483301885	59.5228076558575	72.5862610122419	8.36730784312815	9.91218765805472	7.70910750724094	75.4058565206093	110.521754149431	100.370665064138	108.824109251099	9.75948399309901	9.37938939161794	8.94907188355575	10.6339645962509	8.17307408736663
PRKD1	11.7844318006192	11.295606521044	9.50613362133504	9.0263418939394	11.5906689962977	0	0.0814738740280061	0.19242956710797	7.22866155058442	8.21291135024734	7.44423465508211	10.3333637146951	0.141028482118347	0.118295616921722	0.160232712774509	0.156367673597614	0.117423076102233
RAP1A	40.7795039086441	38.1341582007527	34.1981596062531	33.9121875599016	25.4524846925151	4.41004330794518	3.80801375605378	3.46477581511668	31.4288101599072	36.1246805569942	42.1758954441809	38.1422825667386	3.76924006987365	4.10778512924583	3.35175835349489	3.98512672919782	3.36298239415632
RASA2	118.526003713905	116.586018774681	117.272145889202	85.0407449398646	84.883026573595	12.9937936121015	10.8034004578188	14.2475558922886	59.2962988404552	71.0642083219418	68.1023590687345	80.9959130343355	11.5097120943113	13.3654738772261	12.4981108303478	11.5465641032769	9.87959968557038
RCAN1	78.7429802108288	119.789259074729	79.4726308274211	94.8950732822041	107.367720088862	13.259226548726	13.694606499187	17.541160148524	81.4846337027732	110.982395165048	127.030146463877	126.831167758841	15.5241624201996	15.7852981088848	13.3689450825894	13.87386270088	11.2360973439271
RPS6KA5	4.78891602811685	4.56161748593975	4.62450617382494	3.03500089345585	3.62871014965265	0.247110339036298	0.414961253856276	0.536872987253155	3.20101514778322	3.20171010284266	3.85313420686415	4.73541024124668	0.50334274499858	0.358631598378759	0.392772676707471	0.489770235794957	0.389643246640478
SELENOK	59.8719704984788	63.277882999331	60.1307980603437	50.2743489961124	57.9605814608518	5.82852846459885	4.62685842506414	4.36472327822834	43.3826362905463	39.2796272880931	50.5639366093751	43.3533970018056	5.58315059965234	4.61397378031152	3.49981977902217	4.31947544171736	5.19365355681127
SESN1	9.62446808197325	10.9969486900377	9.13856682848903	8.45194174751104	6.87919962485015	1.365940352327	0.801036640962686	0.921711087125143	7.86724769232611	6.63617666497139	6.90912004803016	8.44148829850134	1.19398821307933	1.33844375411318	1.24588839268014	1.21583580626151	1.013379349228
SOCS3	122.211623687994	109.644452749192	93.8636462027808	70.7647330540504	94.3890730287346	2.6841239202517	1.61492511731789	2.91212032319024	119.878084387389	159.293327215833	259.510496324482	233.222467880991	2.43813460874131	2.17479882549527	2.1331574811545	1.57828440915322	1.93667855843427
SOD2	684.73515143415	455.746972302063	451.974854925126	573.476060424746	806.954575420907	45.1890925146651	26.4345687641776	18.8391210058844	283.287251621539	395.141470852188	231.083205222546	405.026911861209	25.2254394983844	24.669950495279	22.90332786525	32.8676726906153	27.0685243576597
TEK	8.46161643259742	7.37073389662129	9.05197561089844	4.291733729169	5.88694153961567	0	0.0153201892712381	0.0584512103916195	5.06103344129099	6.03890163045467	5.01025778054106	6.31638797409719	0.00994452085621559	0.0142997646838835	0	0.0103775555653951	0
TGFB3	172.925727854666	202.765944673562	148.832708942235	117.019003211081	214.717688235568	0.099684450819777	0.242639083999975	0.193534987832762	114.931237150577	154.545586920051	136.500763734417	166.686140337669	0.336127996005706	0.211747478155954	0.13350434773777	0.280611766504881	0.159923858387486
ZFP36L2	831.79519484887	990.272762812661	689.082779833773	632.464113893878	570.65866677188	28.3931492790922	34.7854190645769	25.8405868964263	666.905080713508	749.61482121259	817.485274472505	1118.41558532505	27.9879553166459	26.0490443487844	22.6666606925542	25.4941322293006	24.4444090037906
